date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-12 12:40:39,JotaPeRosendo,PecinaLucas,0,0,0,"El tema es volver de eso si el #Covid_19 no realiza el Apocalipsis Zombie que los periodistas ansían",,,#Covid_19,1238082478457446403,https://twitter.com/JotaPeRosendo/status/1238082478457446403
2020-03-12 12:38:32,cthomsenhall,,0,1,5,"Los Simpson lo hicieron de nuevo #CoronavirusEnArgentina #coronavirus #Covid_19 ",,,#CoronavirusEnArgentina #coronavirus #Covid_19,1238081945835376644,https://twitter.com/cthomsenhall/status/1238081945835376644
2020-03-12 12:38:00,VillarruelJere,,0,0,0,"Creo que es más difícil encontrar monedas de $5 que la cura del #COVID19",,,#COVID19,1238081808497094656,https://twitter.com/VillarruelJere/status/1238081808497094656
2020-03-12 12:34:33,adrischiavello,,0,2,9,"Evitemos el pánico de #coronavirus #COVID19 solo seamos cautos con las medidas de protección: Lavate las manos con frecuencia Aliméntate bien Hacé actividad física para estar fuerte Descansá muy bien",,,#coronavirus #COVID19,1238080943065350144,https://twitter.com/adrischiavello/status/1238080943065350144
2020-03-12 12:31:19,andrepuche,,1,0,2,"No hago chistes del Covid19, tampoco me uno al pánico, ni comparto información de dudosa precedencia. Lo que hago es leer mucha información, cumplir con las recomendaciones y rezar porque esta enfermedad se detenga",,,,1238080128493780994,https://twitter.com/andrepuche/status/1238080128493780994
2020-03-12 12:29:17,JotaPeRosendo,tanoproductor,0,0,0,"Tano, relájate si se viene un Apocalipsis Zombie por el #Covid_19 va a haber muchas propiedades ociosas para alquilar y quizá nos quedemos sin inmobiliarias. En todo caso alquilar no será la mayor nuestras preocupaciones. #HabraConsecuencias",,,#Covid_19 #HabraConsecuencias,1238079615895326721,https://twitter.com/JotaPeRosendo/status/1238079615895326721
2020-03-12 12:27:20,marlito94,paolabellussi,1,0,2,"Puede que te contagios de covid 19. Pero tiene una mortalidad del 2.5% y afecta a en más alto porcentaje personas de la 3era edad. Más peligroso sería un dengue o otro virus.",,,,1238079125681852418,https://twitter.com/marlito94/status/1238079125681852418
2020-03-12 12:22:13,dArturo16,Covid19_Time,0,0,0,"En donde ?",,,,1238077838848376832,https://twitter.com/dArturo16/status/1238077838848376832
2020-03-12 12:20:30,Natzuhe,,0,0,0,"Amo que en tik tok cada vez que alguien etiqueta #coronavirus aparece un CTA+vínculo que dirige a información de la OMS: qué es el COVID-19?, formas de protección, y una sección que “desmonta mitos” (el primero es: se puede matar el con un secador?) ",,,#coronavirus,1238077406184947715,https://twitter.com/Natzuhe/status/1238077406184947715
2020-03-12 12:16:21,INFOCASTELLANA,,0,0,0,"Coronavirus: Gobierno de la Ciudad prohibió los recitales y los espectáculos deportivos con público El jefe de gobierno porteño anunció nuevas medidas por el COVID-19 junto al ministro de Salud, Fernán Quirós. ",,,,1238076360020627457,https://twitter.com/INFOCASTELLANA/status/1238076360020627457
